year,sex,hindfoot_length,weight,genus,species,taxa,plot_type,weight_oz
1983,F,19.0,28.0,Onychomys,torridus,Rodent,Long-term Krat Exclosure,0.9876543209876543
1991,not reported,,,Amphispiza,bilineata,Bird,Control,
1987,F,32.0,162.0,Neotoma,albigula,Rodent,Control,5.714285714285714
1995,M,36.0,44.0,Dipodomys,merriami,Rodent,Control,1.5520282186948853
2002,F,23.0,15.0,Chaetodipus,penicillatus,Rodent,Spectab exclosure,0.5291005291005291
2002,F,22.0,18.0,Chaetodipus,penicillatus,Rodent,Spectab exclosure,0.6349206349206349
1996,F,23.0,20.0,Chaetodipus,penicillatus,Rodent,Long-term Krat Exclosure,0.7054673721340388
1985,M,35.0,42.0,Dipodomys,merriami,Rodent,Control,1.4814814814814814
1988,F,17.0,10.0,Reithrodontomys,megalotis,Rodent,Control,0.3527336860670194
1995,F,17.0,7.0,Perognathus,flavus,Rodent,Rodent Exclosure,0.24691358024691357
1982,F,33.0,120.0,Neotoma,albigula,Rodent,Control,4.232804232804233
2000,M,36.0,46.0,Dipodomys,merriami,Rodent,Control,1.6225749559082892
1984,M,32.0,152.0,Neotoma,albigula,Rodent,Control,5.361552028218695
2002,F,36.0,47.0,Dipodomys,merriami,Rodent,Control,1.657848324514991
1982,M,16.0,6.0,Perognathus,flavus,Rodent,Short-term Krat Exclosure,0.21164021164021163
1988,F,17.0,11.0,Reithrodontomys,megalotis,Rodent,Short-term Krat Exclosure,0.3880070546737213
2001,F,22.0,27.0,Onychomys,torridus,Rodent,Control,0.9523809523809523
1998,M,36.0,49.0,Dipodomys,merriami,Rodent,Control,1.728395061728395
1990,F,24.0,27.0,Onychomys,leucogaster,Rodent,Control,0.9523809523809523
2002,F,26.0,32.0,Chaetodipus,baileyi,Rodent,Long-term Krat Exclosure,1.128747795414462
1989,M,36.0,51.0,Dipodomys,ordii,Rodent,Control,1.7989417989417988
1987,M,21.0,28.0,Peromyscus,maniculatus,Rodent,Rodent Exclosure,0.9876543209876543
1994,M,36.0,43.0,Dipodomys,merriami,Rodent,Control,1.5167548500881833
1991,not reported,,,Ammospermophilus,harrisi,Rodent,Control,
1983,F,35.0,46.0,Dipodomys,merriami,Rodent,Short-term Krat Exclosure,1.6225749559082892
1977,F,36.0,38.0,Dipodomys,merriami,Rodent,Control,1.3403880070546736
1980,M,,39.0,Onychomys,leucogaster,Rodent,Control,1.3756613756613756
1992,F,13.0,9.0,Baiomys,taylori,Rodent,Long-term Krat Exclosure,0.31746031746031744
1983,M,34.0,36.0,Dipodomys,merriami,Rodent,Spectab exclosure,1.2698412698412698
2000,F,35.0,37.0,Dipodomys,merriami,Rodent,Control,1.3051146384479717
1986,F,37.0,44.0,Dipodomys,merriami,Rodent,Control,1.5520282186948853
1991,not reported,,,Dipodomys,sp.,Rodent,Control,
1993,F,47.0,44.0,Dipodomys,merriami,Rodent,Control,1.5520282186948853
1996,M,15.0,9.0,Perognathus,flavus,Rodent,Rodent Exclosure,0.31746031746031744
1983,F,36.0,40.0,Dipodomys,merriami,Rodent,Short-term Krat Exclosure,1.4109347442680775
1991,M,16.0,9.0,Reithrodontomys,megalotis,Rodent,Rodent Exclosure,0.31746031746031744
2001,F,26.0,33.0,Chaetodipus,baileyi,Rodent,Short-term Krat Exclosure,1.164021164021164
1992,M,17.0,11.0,Reithrodontomys,megalotis,Rodent,Short-term Krat Exclosure,0.3880070546737213
1986,F,36.0,48.0,Dipodomys,merriami,Rodent,Control,1.693121693121693
2000,M,22.0,16.0,Chaetodipus,penicillatus,Rodent,Control,0.564373897707231
1997,F,17.0,12.0,Reithrodontomys,megalotis,Rodent,Short-term Krat Exclosure,0.42328042328042326
1989,M,36.0,47.0,Dipodomys,merriami,Rodent,Spectab exclosure,1.657848324514991
1995,F,17.0,9.0,Perognathus,flavus,Rodent,Short-term Krat Exclosure,0.31746031746031744
2001,M,20.0,24.0,Onychomys,torridus,Rodent,Control,0.8465608465608465
1990,M,17.0,7.0,Perognathus,flavus,Rodent,Short-term Krat Exclosure,0.24691358024691357
1981,M,,129.0,Dipodomys,spectabilis,Rodent,Control,4.55026455026455
1998,M,34.0,39.0,Dipodomys,merriami,Rodent,Control,1.3756613756613756
2000,F,35.0,32.0,Dipodomys,merriami,Rodent,Control,1.128747795414462
2001,M,28.0,38.0,Chaetodipus,baileyi,Rodent,Short-term Krat Exclosure,1.3403880070546736
1982,M,51.0,158.0,Dipodomys,spectabilis,Rodent,Control,5.573192239858907
1985,F,54.0,129.0,Dipodomys,spectabilis,Rodent,Spectab exclosure,4.55026455026455
1992,M,21.0,31.0,Onychomys,leucogaster,Rodent,Control,1.09347442680776
1980,F,35.0,47.0,Dipodomys,merriami,Rodent,Control,1.657848324514991
1993,F,20.0,17.0,Chaetodipus,penicillatus,Rodent,Short-term Krat Exclosure,0.599647266313933
2001,M,36.0,40.0,Dipodomys,merriami,Rodent,Control,1.4109347442680775
1981,M,52.0,135.0,Dipodomys,spectabilis,Rodent,Control,4.761904761904762
2002,F,34.0,52.0,Dipodomys,merriami,Rodent,Control,1.8342151675485008
